5RATFORCESTAFF,NA
ALPHA,NA
Arkosh Gaming,NA
B8,NA
Eternity,NA
felt,NA
nouns,NA
Shopify Rebellion,NA
Team DogChamp,NA
The Cut,NA
Thiuth Gaming,NA
TSM,NA
Wildcard Gaming,NA
4 Zoomers,NA
5ManMidas,NA
A-Team,NA
Animal Planet,NA
Astral Authority,NA
Black N Yellow,NA
Boreal eSports,NA
business associates,NA
Chaos Esports Club,NA
Cloud9,NA
Complexity Gaming,NA
CR4ZY,NA
Demon Slayers,NA
Doo Wop,NA
Dragneel,NA
Electronic Boys,NA
Enemy,NA
EverNova,NA
EverNovaS,NA
Exodus,NA
FDL,NA
Fighting PandaS,NA
Flying Penguins,NA
Fnatic.NA,NA
Forward Gaming,NA
Wizards&Priests,NA
Iceberg Esports,NA
Immortals,NA
is GG,NA
It's Gosu eSports,NA
J.Storm,NA
KBU.US,NA
Kingdom Dota,NA
Marchoutofarmy,NA
My Intent,NA
Na`Vi North America,NA
NA Rejects,NA
OpTic Gaming,NA
Planet Odd,NA
PotM Bottom,NA
Power of Friendship,NA
Pretty Boy Swag,NA
Quincy Crew,NA
ROOONS,NA
ROOT Gaming,NA
S A D B O Y S,NA
Shadows of the Past,NA
Shazam,NA
simply TOOBASED,NA
Sneaky Nyx Assassins,NA
Soniqs,NA
Stay Free,NA
Stratos eSports,NA
Summer's Rift,NA
Take Five,NA
Team Archon,NA
Team Dignitas,NA
Team eHug,NA
Team FIRE,NA
Team Freedom,NA
Team Leviathan,NA
Team Mischief,NA
Team NP,NA
Team Onyx,NA
Team Pheonix,NA
Team Red,NA
TEAM TEAM,NA
Team Tinker,NA
Team Undying,NA
Team Xolotl,NA
Team YP,NA
The A-Team,NA
The Dire,NA
Thunderbirds,NA
Truffle Salt,NA
VGJ.Storm,NA
Views 6,NA
Void Boys,NA
WanteD,NA
Wheel Whreck,NA
Wind and Rain,NA
Wonder Wolfs,NA
Gamer University,NA
GOD BLESS,NA
Dark Horse,NA
Alliance.LATAM,SA
Balrogs,SA
beastcoast,SA
Dreamers Esports,SA
Evil Geniuses,SA
Infamous,SA
Infinity,SA
Keyd Stars,SA
Lava,SA
Mad Kings,SA
No Runes,SA
Qhali,SA
Ravens,SA
Thunder Awaken,SA
Vicious Gaming,SA
Artyk Gaming,SA
Braxstone,SA
Butterfly Effec,SA
CDM eSports,SA
CNB e-Sports Club,SA
Cream Esports,SA
Crewmates,SA
Demolition Boys,SA
Digital Chaos.SA,SA
eGamersX,SA
EgoBoys,SA
Elite Wolves,SA
FURIA Esports,SA
G3nerationX,SA
Gorillaz-Pride,SA
Havan Liberty,SA
Hokori,SA
Incubus Club,SA
Infamous Young,SA
Infamous.Black,SA
Insight eSports,SA
Interitus,SA
INTZ eSports,SA
Inverse,SA
Isurus Gaming,SA
APU King of Kings,SA
Kingao+4,SA
Latam Defenders,SA
Luccini,SA
Majestic esports,SA
Midas Club,SA
Midas Club Victory,SA
Nex Impetus,SA
NoPing e-sports,SA
Not Today,SA
Omega Gaming,SA
Pacific eSports,SA
paiN Gaming,SA
paiN X,SA
Pichau,SA
Playmakers Esports,SA
Revenge eSports,SA
Sacred,SA
Sector V,SA
semXorah,SA
SG esports,SA
Slayers of Gods,SA
STARS e-Sports,SA
Swagenteiger,SA
T Show.Rising,SA
Team Anvorgesa,SA
Team Brasil,SA
Team DileCom,SA
Tempest,SA
The House is Down,SA
Torus Gaming,SA
Union Gaming,SA
Union Gaming BO,SA
Unknown Team,SA
VINCE TE IPSUM,SA
Vultur,SA
Wolf Team,SA
WP Gaming,SA
Battle Zone,SA
Alliance,EU
D2 Hustlers,EU
Entity,EU
Gaimin Gladiators,EU
Into The Breach,EU
IVY,EU
Level UP,EU
Monaspa,EU
Nigma Galaxy,EU
OG,EU
Ooredoo Thunders,EU
Team Bald Reborn,EU
Team Liquid,EU
Team Secret,EU
Tundra Esports,EU
(monkey) Business,EU
4 Anchors + SC,EU
4 Clover & Lepricon,EU
4 Friends + Chrillee,EU
4 protect five,EU
4 Vikings + Dane,EU
5 Anchors No Captain,EU
5Jungz,EU
5men,EU
Aachen City Esports,EU
Absolute Legends,EU
Ad Finem,EU
Aftershock Gaming,EU
Aggressive Mode,EU
ALTERNATE aTTaX,EU
Avengers,EU
B)ears,EU
Balkan Bears,EU
Basically Unknown,EU
BlinkPool,EU
Brame,EU
BrooDMotherS,EU
Burden United,EU
Bursaspor Esports,EU
Cede Nullis,EU
Chicken Fighters,EU
CHILLAX,EU
COOKISS,EU
Coolguys,EU
Copenhagen Wolves,EU
Counter Logic Gaming,EU
Creepwave,EU
Crescendo,EU
Czech Republic,EU
Danish Bears,EU
DD.Dota,EU
Denial eSports,EU
Dwayne The John Rockson,EU
E-LAB,EU
Elements One,EU
Elements Pro,EU
Epidemic!,EU
Escape Gaming,EU
eSuba,EU
Fiskestanga,EU
Flipsid3 Tactics,EU
Fureur,EU
GameOnline,EU
Ghost Frogs,EU
Godsent,EU
Going in,EU
Golden Boys,EU
GOOMBA Gaming,EU
goonsquad,EU
Gplay,EU
H2k Gaming,EU
HAPPY GUYS,EU
hehe united,EU
Hellbear Smashers,EU
Helsinki REDS,EU
High Coast Esports,EU
Hippomaniacs,EU
Horde,EU
House of Gamers,EU
HWA Gaming,EU
IKEA,EU
Imaginary Gaming,EU
iNfernity Gaming,EU
January 25th,EU
Kaipi,EU
Keita Gaming,EU
Kingdra,EU
KomandaMinus,EU
LAJONS,EU
Lemondogs,EU
Let's Do It,EU
Lianghao,EU
Lions Pride,EU
London Conspiracy,EU
LowLandLions,EU
Mad Lads,EU
Mamas Boys,EU
Meet Your Makers,EU
Memento Mori,EU
MidOrFeed,EU
Monkey Freedom Fighters,EU
Monomaniac,EU
mousesports,EU
Mortal Teamwork,EU
mudgolems,EU
mYinsanity,EU
Ninjas in Pyjamas,EU
No Bounty Hunter,EU
No Diggity,EU
No Logic Gaming,EU
No Tidehunter,EU
OG Seed,EU
PENTA Sports,EU
Planet Dog,EU
Prodota Gaming,EU
Pulse eSports,EU
QPAD Red Pandas,EU
Quantic Gaming,EU
RAGE.eSports,EU
rat in the dark,EU
Reason Gaming,EU
Rocket Scientists,EU
Sanguine Sharks,EU
Sigma.int,EU
SK Gaming,EU
Skånes Elit,EU
SOLIDUDES,EU
Speed Gaming.int,EU
Spider Pigzs,EU
sQreen's Squad,EU
STARK,EU
Steak Gaming,EU
Storm Games Clan,EU
Super Strong Dinosaurs,EU
Svenhunterz,EU
Taco Life,EU
TCM-Gaming,EU
Team aAa,EU
Team Bad English,EU
Team Coast,EU
Team Defiance,EU
Team Dog,EU
Team Doge,EU
GamersLeague,EU
Team Infused,EU
Team Kinguin,EU
Team Life,EU
Team Lithium,EU
Team Menace.fi,EU
Team ONE,EU
Team Property,EU
Team Shakira,EU
Team Singularity,EU
Team Tickles,EU
Team Toast,EU
Team World,EU
Team Zero,EU
Tempo Esports,EU
The Final Tribe,EU
The GD B-Team,EU
The Imperial,EU
The Tough Bananas,EU
tRICKED eSport,EU
Tuho,EU
Turtle Masters,EU
Unchained Esports,EU
Valkyrie eSports,EU
Vikin.gg,EU
WARMAKER,EU
