The International 2022,Tundra Esports,Team Secret
ESL One Malaysia 2022,OG,Team Aster
PGL Arlington Major 2022,Team Spirit,PSG.LGD
Riyadh Masters 2022,PSG.LGD,Team Spirit
ESL One Stockholm 2022,OG,TSM
GAMERS GALAXY: Invitational Series Dubai 2022,BOOM Esports,Tundra Esports
The International 2021,Team Spirit,PSG.LGD
OGA Dota PIT Invitational,PSG.LGD,Team Spirit
ESL One Fall 2021,Tundra Esports,PSG.LGD
ESL One Summer 2021,T1,Virtus.pro
WePlay AniMajor,PSG.LGD,Evil Geniuses
ONE Esports Singapore Major 2021,Invictus Gaming,Evil Geniuses
EPIC League Season 2 Division 1,Virtus.pro,OG
ESL One Germany 2020,Team Liquid,Natus Vincere
OMEGA League: Europe Immortal Division,Team Secret,OG
DreamLeague Season 13,Team Secret,Evil Geniuses
ONE Esports Dota 2 World Pro Invitational Singapore,Vici Gaming,Evil Geniuses
MDL Chengdu Major,TNC Predator,Vici Gaming
The International 2019,OG,Team Liquid
EPICENTER Major 2019,Vici Gaming,Team Liquid
MDL DisneylandÂ® Paris Major,Team Secret,Team Liquid
DreamLeague Season 11,Vici Gaming,Virtus.pro
World Electronic Sports Games 2018,TNC Predator,Keen Gaming
The Chongqing Major,Team Secret,Virtus.pro
The Kuala Lumpur Major,Virtus.pro,Team Secret
The International 2018,OG,PSG.LGD
China Dota2 Supermajor,Team Liquid,Virtus.pro
ESL One Birmingham 2018,Virtus.pro,OpTic Gaming
MDL Changsha Major,PSG.LGD,VGJ.Storm
EPICENTER XL,PSG.LGD,Team Liquid
Dota 2 Asia Championships 2018,Mineski,PSG.LGD
World Electronic Sports Games 2017,RUS,paiN
The Bucharest Major,Virtus.pro,VGJ.Thunder
ESL One Katowice 2018,Virtus.pro,Vici Gaming
Galaxy Battles II: Emerging Worlds,VGJ.Thunder,Evil Geniuses
DreamLeague Season 8,Team Secret,Team Liquid
ESL One Hamburg 2017,Virtus.pro,Team Secret
The International 2017,Team Liquid,Newbee
Mars Dota 2 League 2017,PSG.LGD,LGD.Forever Young
Galaxy Battles,Newbee,Planet Odd
DOTA Summit 7,Virtus.pro,Team Secret
EPICENTER 2017,Team Liquid,Evil Geniuses
ZOTAC Cup Masters,Newbee,Team NP
The Manila Masters,Evil Geniuses,Newbee
StarLadder i-League Invitational Season 2,Team Liquid,TNC Predator
The Kiev Major 2017,OG,Virtus.pro
Dota 2 Asia Championships 2017,Invictus Gaming,OG
StarLadder i-League StarSeries Season 3,Team Liquid,Team VGJ
Dota Pit League Season 5,Evil Geniuses,OG
World Electronic Sports Games 2016,TNC Predator,Cloud9
ESL One Genting 2017,Digital Chaos,Newbee
Dota2 Professional League Season 2,Newbee,IG Vitality
World Cyber Arena 2016,IG Vitality,Vici Gaming
The Boston Major 2016,OG,Ad Finem
The Summit 6,Virtus.pro,OG
Northern Arena BEAT Invitational,Wings Gaming,Team NP
Mars Dota 2 League 2016 Autumn,Evil Geniuses,Newbee
The International 2016,Wings Gaming,Digital Chaos
StarLadder i-League StarSeries Season 2,Natus Vincere,Team Secret
The Summit 5,Wings Gaming,OG
Nanyang Dota 2 Championships Season 2,Newbee,Wings Gaming
ESL One Frankfurt 2016,OG,Natus Vincere
The Manila Major 2016,OG,Team Liquid
EPICENTER 2016,Team Liquid,Newbee
